TEKS ID,Statement,Grade,Chapter
127.13.b.2,"The process standards describe ways in which students are expected to engage in the content. The placement of the process standards at the beginning of the knowledge and skills listed for each grade and course is intentional. The process standards weave the other knowledge and skills together so that students may be successful problem solvers and use mathematics efficiently and effectively in daily life. The process standards are integrated at every grade level and course. When possible, students will apply mathematics to problems arising in everyday life, society, and the workplace. Students will use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution. Students will select appropriate tools such as real objects, manipulatives, paper and pencil, and technology and techniques such as mental math, estimation, and number sense to solve problems. Students will effectively communicate mathematical ideas, reasoning, and their implications using multiple representations such as symbols, diagrams, graphs, and language. Students will use mathematical relationships to generate solutions and make connections and predictions. Students will analyze mathematical relationships to connect and communicate mathematical ideas. Students will display, explain, or justify mathematical ideas and arguments using precise mathematical language in written or oral communication.",,127
127.13.b.3,Career development is a lifelong pursuit of answers to the questions: Who am I? Why am I here? What am I meant to do with my life? It is vital that students have a clear sense of direction for their career choice. Career planning is a critical step and is essential to success.,,127
127.13.b.4,"Applied Mathematics for Technical Professionals uses problem-solving situations, hands-on activities, and technology to extend mathematical thinking and engage student reasoning. Situations relating to technical applications provide students opportunities to make connections with mathematics and the workplace. In addition, students will learn the skills necessary to communicate using mathematics. Hands-on activities will allow students to model, explore, and develop abstract concepts applicable to technical careers. (Essential to this course is the partnership between mathematics and technical teachers.)",,127
127.13.b.5,Students are encouraged to participate in extended learning experiences such as career and technical student organizations and other leadership or extracurricular organizations.,,127
127.13.b.6,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,127
127.13.c.1,The student uses mathematical processes to acquire and demonstrate mathematical understanding. The student is expected to:,,127
127.13.c.2,The student uses mathematical concepts of algebra to explain linear and non-linear applications in business and industry situations. The student is expected to:,,127
127.13.c.3,The student applies geometric concepts to real-world problems in technical situations. The student is expected to:,,127
127.13.c.4,The student applies measurement to all aspects of business and industry occupations. The student is expected to:,,127
127.13.c.5,The student uses mathematical processes with graphical and numerical techniques to study patterns and analyze data related to finance. The student is expected to:,,127
127.13.c.6,"The student applies mathematical processes to design a study and use graphical, numerical, and analytical techniques to communicate the results. The student is expected to:",,127
127.13.c.7,The student applies mathematical principles of manufacturing processes. The student is expected to:,,127
127.13.c.1.A,"apply mathematics to problems arising in everyday life, society, and the workplace;",,127
127.13.c.1.B,"use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution;",,127
127.13.c.1.C,"select tools, including real objects, manipulatives, paper and pencil, and technology as appropriate, and techniques, including mental math, estimation, and number sense as appropriate, to solve problems;",,127
127.13.c.1.D,"communicate mathematical ideas, reasoning, and their implications using multiple representations, including symbols, diagrams, graphs, and language as appropriate;",,127
127.13.c.1.E,"create and use representations to organize, record, and communicate mathematical ideas;",,127
127.13.c.1.F,analyze mathematical relationships to connect and communicate mathematical ideas; and,,127
127.13.c.1.G,"display, explain, and justify mathematical ideas and arguments using precise mathematical language in written or oral communication.",,127
127.13.c.2.A,calculate rise and run such as the rise and run of stair stringers or roof pitch;,,127
127.13.c.2.B,distinguish the purpose and difference of a linear and non-linear increase and decrease of a variable with time such as cost or profit;,,127
127.13.c.2.C,"write systems of equations and inequalities from real-life situations that compare ""best deal opportunities"" with profit and expenses in businesses;",,127
127.13.c.2.D,use linear programing to maximize or minimize linear objective function in real-life situations and determine the reasonableness of solutions;,,127
127.13.c.2.E,express numbers as powers of 10 in business and industry settings;,,127
127.13.c.2.F,determine the powers and roots of numbers;,,127
127.13.c.2.G,apply compound interest formulas related to operating a business; and,,127
127.13.c.2.H,use exponential decay models to determine the depreciation on equipment used in business and industry and explain the meaning of models.,,127
127.13.c.3.A,identify various geometric figures in order to identify what formulas are needed to solve situational problems;,,127
127.13.c.3.B,"compute measurements such as area, surface area, volume, perimeter, and circumference in order to prepare engineering drawings for projects;",,127
127.13.c.3.C,"use trigonometric functions such as sine, cosine, tangent, cotangent, cosecant, and secant to calculate angles and length of sides;",,127
127.13.c.3.D,apply Heron's formula for finding areas of triangles when the height is not known;,,127
127.13.c.3.E,"determine how changing dimensions will affect the perimeter, area, surface area, or volume in a project;",,127
127.13.c.3.F,determine how angles will affect structural strength and stability;,,127
127.13.c.3.G,"apply right triangle relationships using the Pythagorean Theorem, special right triangles, and trigonometry for roof construction, building the frame of a car, or calculating machined parts;",,127
127.13.c.3.H,determine the materials needed for a job or project by finding missing parts of a circle;,,127
127.13.c.3.I,draw orthographic and isometric views and use them to produce engineering drawings;,,127
127.13.c.3.J,"use cross-sections, including conic sections, of three-dimensional figures to relate to plane figures in specific detail on an engineered drawing; and",,127
127.13.c.3.K,"explain and use auxiliary views, revolutions, intersections, and engineered drawings.",,127
127.13.c.4.A,use dimensional analysis to select an appropriate tool to make measurements;,,127
127.13.c.4.B,apply accurate readings of both U.S. customary and metric measuring devices to a problem situation;,,127
127.13.c.4.C,"square, measure, and cut materials to specified dimensions;",,127
127.13.c.4.D,draw segments to scale using an accurate scale and measure segments that are drawn to scales;,,127
127.13.c.4.E,convert temperature values between Celsius and Fahrenheit in situations involving thermodynamics; and,,127
127.13.c.4.F,"determine length, distance, area, surface area, volume, and weight with appropriate unit labels.",,127
127.13.c.5.A,"use rates and linear functions to solve problems involving finance and budgeting, including compensations and deductions;",,127
127.13.c.5.B,"solve problems related to local, state, and federal taxes;",,127
127.13.c.5.C,analyze data to make decisions about banking and finance;,,127
127.13.c.5.D,"use mathematical processes with algebraic formulas, numerical techniques, and graphs to solve problems related to job cost analysis;",,127
127.13.c.5.E,"identify what parameters to change such as cost of materials, cost of labor, and work time required to improve the overall cost of a project; and",,127
127.13.c.5.F,identify the most reasonable mathematical solution using estimation.,,127
127.13.c.6.A,interpret and present situations in terms of given graphs and that fit graphics;,,127
127.13.c.6.B,apply Ohm's Law and Kirchhoff's laws to troubleshoot electrical circuits;,,127
127.13.c.6.C,"collect and organize data; make and interpret scatterplots; and model, predict, and make decisions and critical judgments; and",,127
127.13.c.6.D,"prepare technical reports and presentations with visual media or models, including tables, graphs, and verbal descriptions.",,127
127.13.c.7.A,identify the line types used on engineering drawings;,,127
127.13.c.7.B,identify selected symbols commonly used on engineering drawings;,,127
127.13.c.7.C,identify the components of engineering drawings;,,127
127.13.c.7.D,"read, interpret, and create engineering drawings; and",,127
127.13.c.7.E,use proper nomenclature when identifying engineering or manufacturing processes.,,127
127.22.c,Introduction,,127
127.22.c.1,Career and technical education instruction provides content aligned with challenging academic standards and relevant technical knowledge and skills for students to further their education and succeed in current or emerging professions.,,127
127.22.c.2,"Career planning is a critical step and is essential to success. Applying to multiple career and technical education clusters, the career preparation courses provide students with a framework for current employment and future career opportunities to become productive and contributing members of society.",,127
127.22.c.3,"Extended Career Preparation is an enhancement and extension to Career Preparation General or Career Preparation for Programs of Study to provide additional opportunities for students to participate in a work-based learning experience that combines classroom instruction with business and industry employment experiences that may be outside the student's current program of study. The goal is to provide students additional time for deeper exploration of skills in the workplace. Career preparation is relevant and rigorous, supports student attainment of academic standards, and effectively prepares students for college and career success.",,127
127.22.c.4,Students are encouraged to participate in extended learning experiences such as career and technical student organizations and other leadership or extracurricular organizations.,,127
127.22.c.5,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,127
127.22.d.1,The student demonstrates professional standards/employability skills as required by business and industry. The student is expected to:,,127
127.22.d.2,The student demonstrates essential skills for success in the workplace. The student is expected to:,,127
127.22.d.3,The student applies and enhances academic knowledge and skills in the workplace. The student is expected to:,,127
127.22.d.4,The student exemplifies appropriate interpersonal and communication skills in the workplace. The student is expected to:,,127
127.22.d.5,The student models ethical codes of conduct and legal responsibilities within the workplace. The student is expected to:,,127
127.22.d.6,The student applies concepts and skills related to safety in the workplace. The student is expected to:,,127
127.22.d.7,The student participates in a paid or an unpaid career preparation experience. The student is expected to:,,127
127.22.d.1.A,"identify and participate in training, education, or preparation for licensure, certification, or other relevant credentials to prepare for employment;",,127
127.22.d.1.B,complete work tasks with high standards to ensure delivery of quality products and services; and,,127
127.22.d.1.C,demonstrate and apply planning and time-management skills to work tasks.,,127
127.22.d.2.A,"demonstrate and apply professional standards and personal qualities needed to be employable such as punctuality, initiative, patience, kindness, respect for authority, and cooperation;",,127
127.22.d.2.B,"apply appropriate content knowledge, technical concepts, and vocabulary in the workplace;",,127
127.22.d.2.C,apply effective listening skills to obtain and clarify information in the workplace; and,,127
127.22.d.2.D,"maintain appropriate hygiene, grooming, and attire in the workplace.",,127
127.22.d.3.A,employ critical-thinking skills to solve problems and make decisions; and,,127
127.22.d.3.B,analyze elements of a problem to develop creative and innovative solutions.,,127
127.22.d.4.A,demonstrate teamwork using conflict-management skills to achieve collective goals;,,127
127.22.d.4.B,"apply verbal and non-verbal communication skills consistently in a manner that is clear, concise, and effective; and",,127
127.22.d.4.C,model effective internal and external communications to support work activities.,,127
127.22.d.5.A,demonstrate a positive work ethic by performing assigned tasks as directed;,,127
127.22.d.5.B,model ethical reasoning in workplace situations;,,127
127.22.d.5.C,"comply with all applicable rules, laws, and regulations in the workplace; and",,127
127.22.d.5.D,research and explain the roles of the Equal Employment Opportunity Commission (EEOC) and the Texas Workforce Commission (TWC) in the workplace.,,127
127.22.d.6.A,follow workplace safety rules and regulations consistently;,,127
127.22.d.6.B,operate tools and equipment used in the workplace safely;,,127
127.22.d.6.C,report and handle accidents and safety incidents according to workplace procedures as necessary; and,,127
127.22.d.6.D,describe and perform a hazard analysis of the workplace.,,127
127.22.d.7.A,"conduct, document, and evaluate learning activities in a supervised employment experience;",,127
127.22.d.7.B,assess and report on advanced technical knowledge and skills related to the student's occupational objective and growth;,,127
127.22.d.7.C,evaluate strengths and weaknesses in technical skill proficiency; and,,127
127.22.d.7.D,document experiences related to the workplace and curate work samples.,,127
127.275.c,Introduction,,127
127.275.c.1,Career and technical education instruction provides content aligned with challenging academic standards and relevant technical knowledge and skills for students to further their education and succeed in current or emerging professions.,,127
,"The Business, Marketing, and Finance Career Cluster focuses on planning, managing, organizing, directing, and evaluating business functions essential to efficient and productive business management, finance, operations, and marketing.",,127
127.275.c.3,"In Entrepreneurship I, students will gain the knowledge and skills needed to become an entrepreneur in a free enterprise system. Students will learn the key concepts necessary to begin and operate a business. The primary focus of the course is to help students identify the types and selection criteria of business structures, understand the components of a business plan, determine feasibility of an idea using research, and develop and present a business concept. In addition, students will understand the basics of management, accounting, finance, marketing, risk, and product development.",,127
127.275.c.4,"Students are encouraged to participate in extended learning experiences such as career and technical student organizations, local chamber of commerce meetings, and meetings with entrepreneurs, mentors, or industry experts.",,127
127.275.c.5,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,127
127.275.d.1,The student demonstrates professional standards/employability skills as required by business and industry. The student is expected to:,,127
127.275.d.2,The student demonstrates an understanding of entrepreneurship. The student is expected to:,,127
127.275.d.3,"The student researches corporations, limited liability corporations, franchises, partnerships, limited partnerships, and sole proprietorships to understand business structures. The student is expected to:",,127
127.275.d.4,The student engages in discovery activities related to entrepreneurship. The student is expected to:,,127
127.275.d.5,The student identifies problems and creates solutions to address market wants and needs. The student is expected to:,,127
127.275.d.6,The student understands the key components included in a business plan. The student is expected to:,,127
127.275.d.7,The student demonstrates an understanding of a business planning methodology. The student is expected to:,,127
127.275.d.9,The student develops and delivers a comprehensive presentation on a preliminary business concept. The student is expected to:,,127
127.275.d.8,The student creates a plan for a preliminary business concept. The student is expected to:,,127
127.275.d.10,The student knows how to access and use organizations and resources to support entrepreneurs. The student is expected to:,,127
127.275.d.1.A,"demonstrate professional business communication skills such as verbal phone conversations and the construction of email in a professional manner, including subject line, salutation, email body, closing, and signature; ",,127
127.275.d.1.B,model professional business norms for face-to-face and virtual interactions in alignment with business norms,,127
127.275.d.1.C,"identify how to conduct a meeting with professionals, including the importance of punctual attendance, wearing attire appropriate for the meeting, introducing all parties to one another, reviewing and using the meeting agenda as a guide for the meeting, taking notes during the meeting, and sending meeting outcomes to each participant after the conclusion of the meeting; ",,127
127.275.d.1.D,"communicate effectively with others using verbal and nonverbal communication, active listening, and writing skills in a business setting;",,127
127.275.d.1.E,"demonstrate collaboration skills, including resolving conflicts, within a team setting;",,127
127.275.d.1.F,"demonstrate a productive work ethic, including working hard, respecting authority, performing assigned tasks, following schedules, and meeting deadlines;",,127
127.275.d.1.G,"evaluate the ethical course of action for entrepreneurs using applicable rules, laws, and regulations;",,127
127.275.d.1.H,"demonstrate leadership skills by participating in career and technical student organizations, leading a team project, or facilitating a group discussion;",,127
127.275.d.1.I,demonstrate coachability skills by receiving and giving constructive feedback;,,127
127.275.d.1.J,demonstrate critical and analytical thinking skills when comparing business decisions; and,,127
127.275.d.1.K,"demonstrate virtues, including trustworthiness, responsibility, and good citizenship. ",,127
127.275.d.2.A,distinguish between the term's entrepreneurship and entrepreneur;,,127
127.275.d.2.B,"define small-, medium-, and large-sized businesses;",,127
127.275.d.2.C,"differentiate between the various routes to entrepreneurship, including start-ups, franchising, acquisition, mergers, and non-profit ownership;",,127
127.275.d.2.D,identify and discuss the risks and benefits of an entrepreneurial way of life;,,127
127.275.d.2.E,analyze and discuss the advantages and disadvantages of entrepreneurship;,,127
127.275.d.2.F,distinguish between intrapreneurship and entrepreneurship; and,,127
127.275.d.2.G,identify the role entrepreneurship plays in innovation within a free-market economy.,,127
127.275.d.3.A,"evaluate the advantages and disadvantages involved with the ownership of corporations, limited liability corporations, franchises, partnerships, limited partnerships, and sole proprietorships, including control, tax implications, risk, and liability;",,127
127.275.d.3.B,differentiate between management structures for different types of business;,,127
127.275.d.3.C,investigate local businesses and classify them by their business structures; and,,127
127.275.d.3.D,identify the primary importance of shareholders.,,127
127.275.d.4.A,"complete a career interest inventory or career aptitude test and a personality assessment to identify personality traits, strengths, and weaknesses;",,127
127.275.d.4.B,identify characteristics of successful entrepreneurs; and,,127
127.275.d.4.C,identify opportunities for personal growth through self-reflection activities.,,127
127.275.d.5.A,identify and analyze problems in the marketplace through an ideation process and market research;,,127
127.275.d.5.B,describe possible solutions for the marketplace problems identified; and,,127
127.275.d.5.C,determine the feasibility of a solution by performing a features-benefits-value analysis.,,127
127.275.d.6.A,"define and explain basic accounting terms, including revenue; expenses; cash; accounts receivable; accounts payable; fixed assets; liquid assets; inventory; liabilities; cost of goods sold; earnings before interest, taxes, depreciation, and amortization (EBITDA); gross profit; net profit; forecasts; cash flow; return on investment; and owners' equity;
",,127
127.275.d.6.B,identify possible diversified revenue streams and explain how to generate various revenue streams for a business;,,127
127.275.d.6.C,"define and explain variable, fixed, and mixed costs;",,127
127.275.d.6.D,"identify the components of key financial statements of a business plan, including balance sheet, profit and loss statement, and cash flow statement;",,127
127.275.d.6.E,calculate unit economics and a break-even point using sample data;,,127
127.275.d.6.F,define and explain different channels of distribution;,,127
127.275.d.6.G,"define and explain demographics, psychographics, and geographics as related to potential customer segment;",,127
127.275.d.6.H,provide examples of market segments;,,127
127.275.d.6.I,"compare various pricing strategies such as cost-plus pricing, price skimming, penetration pricing, premium pricing, and value-based pricing;",,127
127.275.d.6.J,define and explain a competitive analysis;,,127
127.275.d.6.K,"analyze and explain different types of marketing and sales strategies, including digital and social media marketing;",,127
127.275.d.6.L,identify and define key performance metrics and describe how they may vary by industry; and,,127
127.275.d.6.M,describe the unique value proposition of a product or service that provides a competitive edge against existing competitors.,,127
127.275.d.7.A,"identify the components of a business planning tool, including the Business Model Canvas; and",,127
127.275.d.7.B,apply a business planning template to an existing business.,,127
,127.275.d.8.A identify a current market need or problem;,,127
,127.275.d.8.B identify a product or service to address the market need or problem;,,127
,127.275.d.8.C explain the unique value proposition of the product or service,,127
,127.275.d.8.D explain potential impacts of the availability of the product or service on a selected target market; and,,127
,127.275.d.8.E summarize the feasibility and key elements of the business venture.,,127
127.275.d.9.A,identify and explain the components of a pitch;,,127
127.275.d.9.B,create a pitch for a preliminary business concept;,,127
127.275.d.9.C,align presentation strategies to the intended audience and purpose;,,127
127.275.d.9.D,select and implement effective multimedia strategies for a presentation;,,127
127.275.d.9.E,provide and receive constructive feedback following a presentation; and,,127
127.275.d.9.F,demonstrate effective presentation skills.,,127
127.275.d.10.A,"identify and compare the opportunities of various local, state, and national organizations and associations that provide resources to entrepreneurs, including startup grants and loans; and",,127
