TEKS ID,Statement,Grade,Chapter
128.21.a.2,"The seven strands of the essential knowledge and skills for Spanish language arts and reading are intended to be integrated for instructional purposes and are recursive in nature. Strands include the four domains of language (listening, speaking, reading, and writing) and their application in order to accelerate the acquisition of language skills so that students develop high levels of social and academic language proficiency. Although some strands may require more instructional time, each strand is of equal value, may be presented in any order, and should be integrated throughout the year. It is important to note that encoding (spelling) and decoding (reading) are reciprocal skills. Decoding is internalized when tactile and kinesthetic opportunities (encoding) are provided. Additionally, students should engage in academic conversations, write, read, and be read to on a daily basis with opportunities for cross-curricular content and student choice.",6,128
128.21.a.3,"Spanish, as opposed to English, has a closer letter-sound relationship and clearly defined syllable boundaries. The syllable in Spanish is a more critical unit of phonological awareness than in English because of the consistent phoneme-grapheme correspondence. Syllables are important units for Spanish because of their strong effect in visual word recognition (Carreiras et al., 1993) and their major role in predicting Spanish reading success. In addition, Spanish presents a much higher level of orthographic transparency than English and does not rely on sight words for decoding. This orthographic transparency accelerates the decoding process, and the focus quickly moves to fluency and comprehension. However, in English ""sight"" words are used because of words that are not decodable such as ""are"" or ""one."" In Spanish, decoding issues are not as prevalent as issues of comprehension. These specific features of the Spanish language will influence reading methodology and development.",6,128
128.21.a.4,"Text complexity increases with challenging vocabulary, sophisticated sentence structures, nuanced text features, cognitively demanding content, and subtle relationships among ideas (Texas Education Agency, <i>STAAR Performance Level Descriptors</i>, 2013). As skills and knowledge are obtained in each of the seven strands, students will continue to apply earlier standards with greater depth to increasingly complex texts in multiple genres as they become self-directed, critical learners who work collaboratively while continuously using metacognitive skills.",6,128
128.21.a.5,"Research consistently shows that language and literacy development in the student's native language not only facilitates learning English and English literacy, but is foundational to cognitive development and learning (Cummins, 2001; Thomas & Collier, 2002; Coelho, 2001). Emergent bilinguals (Sparrow et al., 2014; Slavin & Cheving, 2013) are students who are in the process of acquiring two or more linguistic codes, becoming bilingual, biliterate, and bicultural. Emergent bilinguals are often defined by their perceived deficits (semilinguals) (Escamilla, 2012). However, research has shown that bilinguals develop a unique interdependent system (Escamilla et al. 2007; Grosjean, 1989; Valdes and Figueroa, 1994) in which languages interconnect to increase linguistic functionality. This linguistic interdependence of language acquisition facilitates a transfer of literacy skills from the primary language (L1) to the second language (L2) (August & Shanahan, 2006; Bialystok, 2007; Miramontes, et al., 1997). The strength of learning through formal instruction in Spanish determines the extent of transfer to English (August, Calderon, & Carlo, 2002; Slavin & Calderon, 2001; Garcia, 2001). For transfer to be maximized, cross-linguistic connections between the two languages must be explicitly taught while students engage in a contrastive analysis of the Spanish and English languages (Cummins, 2007). Continued strong literacy development in Spanish provides the foundation and scaffold for literacy development given that a Common Underlying Proficiency (CUP) exists between the two languages (Cummins, 1991). Consequently, direct and systematic instruction (Genesee et al., 2005) in the appropriate sequence of Spanish skills with early English as a second language-based literacy instruction is critical to student success. As a result of working within two language systems, students' metalinguistic and metacognitive skills are enhanced when they learn about the similarities and differences between languages (Escamilla et. al., 2014). The extent to which English and Spanish are used is reliant on the type of bilingual program model being used (see Texas Education Code, §29.066).",6,128
128.21.a.6,"English language learners (ELLs) are expected to meet standards in a second language, and their proficiency in English directly impacts their ability to meet these standards. The comprehension of text throughout the stages of English language acquisition requires scaffolds such as adapted text, translations, native language support, cognates, summaries, pictures, realia, glossaries, bilingual dictionaries, thesauri, and other modes of comprehensible input. Strategic use of the student's first language is important to ensure linguistic, affective, cognitive, and academic development in English. ELLs can and should be encouraged to use knowledge of their first language to enhance vocabulary development; vocabulary needs to be in the context of connected oral and written discourse so that it is meaningful.",6,128
128.21.a.8,"Oral language proficiency holds a pivotal role in school success; verbal engagement must be maximized across grade levels (Kinsella, 2010). In order for students to become thinkers and proficient speakers in science, social studies, mathematics, fine arts, language arts and reading, and career and technical education, they must have multiple opportunities to practice and apply the academic language of each discipline (Fisher, Frey, & Rothenberg, 2008).",6,128
128.21.a.9,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",6,128
128.21.b.1,"Developing and sustaining foundational language skills: listening, speaking, discussion, and thinking--oral language. The student develops oral language through listening, speaking, and discussion. The student is expected to:",6,128
128.21.b.2,"Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--beginning reading and writing. The student develops word structure knowledge through phonological awareness, print concepts, phonics, and morphology to communicate, decode, and spell. The student is expected to:",6,128
128.21.b.3,"Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--vocabulary. The student uses newly acquired vocabulary expressively. The student is expected to:",6,128
128.21.b.4,"Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--fluency. The student reads grade-level text with fluency and comprehension. The student is expected to adjust fluency when reading grade-level text based on the reading purpose.",6,128
128.21.b.5,"Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--self-sustained reading. The student reads grade-appropriate texts independently. The student is expected to self-select text and read independently for a sustained period of time.",6,128
128.21.b.6,"Comprehension skills: listening, speaking, reading, writing, and thinking using multiple texts. The student uses metacognitive skills to both develop and deepen comprehension of increasingly complex texts. The student is expected to:",6,128
128.21.b.7,"Response skills: listening, speaking, reading, writing, and thinking using multiple texts. The student responds to an increasingly challenging variety of sources that are read, heard, or viewed. The student is expected to:",6,128
128.21.b.8,"Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--literary elements. The student recognizes and analyzes literary elements within and across increasingly complex traditional, contemporary, classical, and diverse literary texts. The student is expected to:",6,128
128.21.b.9,"Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student recognizes and analyzes genre-specific characteristics, structures, and purposes within and across increasingly complex traditional, contemporary, classical, and diverse texts. The student is expected to:",6,128
128.21.b.10,"Author's purpose and craft: listening, speaking, reading, writing, and thinking using multiple texts. The student uses critical inquiry to analyze the authors' choices and how they influence and communicate meaning within a variety of texts. The student analyzes and applies author's craft purposefully in order to develop his or her own products and performances. The student is expected to:",6,128
128.21.b.11,"Composition: listening, speaking, reading, writing, and thinking using multiple texts--writing process. The student uses the writing process recursively to compose multiple texts that are legible and uses appropriate conventions. The student is expected to:",6,128
128.21.b.12,"Composition: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student uses genre characteristics and craft to compose multiple texts that are meaningful. The student is expected to:",6,128
128.21.b.13,"Inquiry and research: listening, speaking, reading, writing, and thinking using multiple texts. The student engages in both short-term and sustained recursive inquiry processes for a variety of purposes. The student is expected to:",6,128
128.21.b.1.A,"listen actively to interpret a message, ask clarifying questions, and respond appropriately;",6,128
128.21.b.1.B,follow and give oral instructions that include multiple action steps;,6,128
128.21.b.1.C,"give an organized presentation with a specific stance and position, employing eye contact, speaking rate, volume, enunciation, natural gestures, and conventions of language to communicate ideas effectively; and",6,128
128.21.b.1.D,"participate in student-led discussions by eliciting and considering suggestions from other group members, taking notes, and identifying points of agreement and disagreement.",6,128
128.21.b.2.A,demonstrate and apply phonetic knowledge by:,6,128
128.21.b.2.B,demonstrate and apply spelling knowledge by:,6,128
128.21.b.2.C,write legibly in cursive.,6,128
128.21.b.2.A.i,"differentiating between commonly confused terms such as porque/porqué/por qué/por que, asimismo (adverbio)/así mismo (de la misma manera), sino/si no, and también/tan bien;",6,128
128.21.b.2.A.ii,"decoding palabras agudas, graves, esdrújulas, and sobresdrújulas (words with the stress on the last, penultimate, and antepenultimate syllable and words with the stress on the syllable before the antepenultimate);",6,128
128.21.b.2.A.iii,decoding words with hiatus and diphthongs; and,6,128
128.21.b.2.A.iv,using knowledge of syllable division patterns and morphemes to decode multisyllabic words;,6,128
128.21.b.2.B.i,"spelling palabras agudas, graves, esdrújulas, and sobresdrújulas (words with the stress on the antepenultimate, penultimate, and ultimate/last syllable and words with the stress on the syllable before the antepenultimate);",6,128
128.21.b.2.B.ii,"marking accents appropriately when conjugating verbs in simple and imperfect past, perfect conditional, and future tenses; and",6,128
128.21.b.2.B.iii,spelling words with diphthongs and hiatus; and,6,128
128.21.b.3.A,"use print or digital resources to determine the meaning, syllabication, pronunciation, word origin, and part of speech;",6,128
128.21.b.3.B,"use context such as definition, analogy, and examples to clarify the meaning of words;",6,128
128.21.b.3.C,"determine the meaning and usage of grade-level academic Spanish words derived from Greek and Latin roots, including metro-, grafo-, scrib-, and port-; and",6,128
128.21.b.3.D,"differentiate between and use homographs, homophones, and commonly confused terms such as porque/porqué/por qué/por que, sino/si no, and también/tan bien.",6,128
128.21.b.6.A,establish purpose for reading assigned and self-selected text;,6,128
128.21.b.6.B,"generate questions about text before, during, and after reading to deepen understanding and gain information;",6,128
128.21.b.6.C,"make and correct or confirm predictions using text features, characteristics of genre, and structures;",6,128
128.21.b.6.D,create mental images to deepen understanding;,6,128
128.21.b.6.E,"make connections to personal experiences, ideas in other texts, and society;",6,128
128.21.b.6.F,make inferences and use evidence to support understanding;,6,128
128.21.b.6.G,evaluate details read to determine key ideas;,6,128
128.21.b.6.H,synthesize information to create new understanding; and,6,128
