TEKS ID,Statement,Grade,Chapter
117.102.a.2,"Four basic strands--foundations: observation and perception; creative expression; historical and cultural relevance; and critical evaluation and response--provide broad, unifying structures for organizing the knowledge and skills students are expected to acquire. Each strand is of equal value and may be presented in any order throughout the year. Students rely on personal observations and perceptions, which are developed through increasing visual literacy and sensitivity to surroundings, communities, memories, imaginings, and life experiences, as sources for thinking about, planning, and creating original artworks. Students communicate their thoughts and ideas with innovation and creativity. Through art, students challenge their imaginations, foster critical thinking, collaborate with others, and build reflective skills. While exercising meaningful problem-solving skills, students develop the lifelong ability to make informed judgments.",K,117
117.102.a.3,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",K,117
117.102.b.1,"Foundations: observation and perception. The student develops and expands visual literacy skills using critical thinking, imagination, and the senses to observe and explore the world by learning about, understanding, and applying the elements of art, principles of design, and expressive qualities. The student uses what the student sees, knows, and has experienced as sources for examining, understanding, and creating artworks. The student is expected to:",K,117
117.102.b.2,"Creative expression. The student communicates ideas through original artworks using a variety of media with appropriate skills. The student expresses thoughts and ideas creatively while challenging the imagination, fostering reflective thinking, and developing disciplined effort and progressive problem-solving skills. The student is expected to:",K,117
117.102.b.3,"Historical and cultural relevance. The student demonstrates an understanding of art history and culture by analyzing artistic styles, historical periods, and a variety of cultures. The student develops global awareness and respect for the traditions and contributions of diverse cultures. The student is expected to:",K,117
117.102.b.4,"Critical evaluation and response. The student responds to and analyzes artworks of self and others, contributing to the development of lifelong skills of making informed judgments and reasoned evaluations. The student is expected to:",K,117
117.102.b.1.A,gather information from subjects in the environment using the senses; and,K,117
117.102.b.1.B,"identify the elements of art, including line, shape, color, texture, and form, and the principles of design, including repetition/pattern and balance, in the environment.",K,117
117.102.b.2.A,"create artworks using a variety of lines, shapes, colors, textures, and forms;",K,117
117.102.b.2.B,arrange components intuitively to create artworks; and,K,117
117.102.b.2.C,"use a variety of materials to develop manipulative skills while engaging in opportunities for exploration through drawing, painting, printmaking, constructing artworks, and sculpting, including modeled forms.",K,117
117.102.b.3.A,identify simple subjects expressed in artworks;,K,117
117.102.b.3.B,share ideas about personal experiences such as family and friends and develop awareness and sensitivity to differing experiences and opinions through artwork;,K,117
117.102.b.3.C,identify the uses of art in everyday life; and,K,117
117.102.b.3.D,relate visual art concepts to other disciplines.,K,117
117.102.b.4.A,express ideas about personal artworks or portfolios;,K,117
117.102.b.4.B,"express ideas found in collections such as real or virtual art museums, galleries, portfolios, or exhibitions using original artworks created by artists or peers; and",K,117
117.102.b.4.C,"compile collections of artwork such as physical artwork, electronic images, sketchbooks, or portfolios for the purposes of self-evaluations or exhibitions.",K,117
117.103.a.1,"The fine arts incorporate the study of dance, music, theatre, and the visual arts to offer unique experiences and empower students to explore realities, relationships, and ideas. These disciplines engage and motivate all students through active learning, critical thinking, and innovative problem solving. The fine arts develop cognitive functioning and increase student academic achievement, higher-order thinking, communication, and collaboration skills, making the fine arts applicable to college readiness, career opportunities, workplace environments, social skills, and everyday life. Students develop aesthetic and cultural awareness through exploration, leading to creative expression. Creativity, encouraged through the study of the fine arts, is essential to nurture and develop the whole child.",K,117
117.103.a.2,"Four basic strands--foundations: music literacy; creative expression; historical and cultural relevance; and critical evaluation and response--provide broad, unifying structures for organizing the knowledge and skills students are expected to acquire. The foundation of music literacy is fostered through reading, writing, reproducing, and creating music, thus developing a student's intellect. Through creative expression, students apply their music literacy and the critical-thinking skills of music to sing, play, read, write, and/or move. By experiencing musical periods and styles, students will understand the relevance of music to history, culture, and the world, including the relationship of music to other academic disciplines and the vocational possibilities offered. Through critical listening, students analyze, evaluate, and respond to music, developing criteria for making critical judgments and informed choices.",K,117
117.103.a.3,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",K,117
117.103.b.1,Foundations: music literacy. The student describes and analyzes musical sound. The student is expected to:,K,117
117.103.b.2,Creative expression. The student performs a varied repertoire of developmentally appropriate music in informal or formal settings. The student is expected to:,K,117
117.103.b.3,Historical and cultural relevance. The student examines music in relation to history and cultures. The student is expected to:,K,117
117.103.b.4,"Critical evaluation and response. The student listens to, responds to, and evaluates music and musical performances. The student is expected to:",K,117
117.103.b.1.A,"identify the differences between the five voices, including singing, speaking, inner, whispering, and calling voices;",K,117
117.103.b.1.B,identify the timbre of adult and child singing voices;,K,117
117.103.b.1.C,identify the timbre of instrument families;,K,117
117.103.b.1.D,"identify same/different in beat/rhythm, higher/lower, louder/softer, faster/slower, and simple patterns in musical performances; and",K,117
117.103.b.1.E,"identify beat, rhythm, and simple two-tone or three-tone melodies using iconic representation.",K,117
117.103.b.2.A,sing or play classroom instruments independently or in groups;,K,117
117.103.b.2.B,sing songs or play classroom instruments from diverse cultures and styles independently or in groups;,K,117
117.103.b.2.C,move alone or with others to a varied repertoire of music using gross and fine locomotor and non-locomotor movement;,K,117
117.103.b.2.D,"perform simple partwork, including beat versus rhythm; and",K,117
117.103.b.2.E,perform music using louder/softer and faster/slower.,K,117
117.103.b.3.A,"sing songs and play musical games, including rhymes, folk music, and seasonal music; and",K,117
117.103.b.3.B,identify simple interdisciplinary concepts related to music.,K,117
117.103.b.4.A,identify and demonstrate appropriate audience behavior during live or recorded performances;,K,117
117.103.b.4.B,identify steady beat in musical performances; and,K,117
117.103.b.4.C,"compare same/different in beat/rhythm, higher/lower, louder/softer, faster/slower, and simple patterns in musical performances.",K,117
