TEKS ID,Statement,Grade,Chapter
115.12.a.2,"There are essential skills that repeat throughout the five strands and embody the interconnection of health literacy. These skills include decision making, problem solving, goal setting, maintaining healthy relationships with self and others, seeking help and support, and recognizing various influences on health such as social, environmental, media, and genetic. These skills, developed early on and reinforced throughout a student's education, will foster mastery of health concepts. Health class educators are encouraged to partner with school counselors where available to schedule time for them to deliver classroom guidance lessons to help teach these essential competencies.",K,115
115.12.a.3,"In Kindergarten-Grade 3, students gain an understanding of health information and skills through five strands: physical health and hygiene; mental health and wellness; healthy eating and physical activity; injury and violence prevention and safety; and alcohol, tobacco, and other drugs.",K,115
115.12.a.4,"Statements containing the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",K,115
115.12.a.5,Students should first seek guidance in the area of health from a parent or legal guardian.,K,115
115.12.a.3.A,"Physical health and hygiene education helps to prepare students for improved lifelong health outcomes. Learning about body systems lays the foundation for personal health and hygiene. Health literacy and preventative behaviors empower students to make informed choices to support self, family, and community.",K,115
115.12.a.3.B,"The mental health and wellness strand recognizes that the knowledge and skills necessary to manage emotions, reactions, and relationships are essential to reaching one's full potential. Students gain knowledge about social and emotional health, including developing a healthy self-concept, understanding risk and protective factors, and identifying and managing mental health and wellness concerns. In the early grades, students develop fluency around emotions and self-regulation and understand the relationship between feelings, thoughts, and behavior. In subsequent grades, students learn and practice appropriate ways to solve interpersonal conflicts, work to develop a positive self-image, and develop healthy self-management skills.",K,115
115.12.a.3.C,"The healthy eating and physical activity strand addresses the importance of nutrition and physical activity to support a healthy lifestyle. Students apply critical-thinking and decision-making skills to make positive health choices. Students learn about essential nutrients, food groups, portion control, government nutritional recommendations, and the health benefits of being physically active. Students evaluate the connection between physical activity and nutrition and the prevention of chronic diseases.",K,115
115.12.a.3.D,"By focusing on injury and violence prevention and safety, the standards promote student well-being and awareness of dangerous situations. Supporting student well-being and providing instruction in digital citizenship, bullying prevention, first aid, and identification of safe and unsafe situations creates empowered and educated students who are able to make decisions that keep themselves and others safe. Beginning in Kindergarten and continuing through high school, students gain knowledge and skills to support safety and wellness at school, at home, online, and in the community.",K,115
115.12.a.3.E,"The standards under the alcohol, tobacco, and other drugs strand focus on a number of protective factors that develop empowered students who are able to make better-informed decisions, including understanding the impact of substance use on physical, mental, and social health. Through this strand, students learn key concepts about alcohol, tobacco, and other drugs, including the use, misuse, and physiological effects; short- and long-term impacts on health; treatment; risk and protective factors; and prevention. These concepts introduce healthy alternatives and ways for students to ask for and seek out help from parents and other trusted adults.",K,115
115.12.b.1,"Physical health and hygiene--body systems. The student examines the structure, function, and relationships of body systems and their relevance to personal health. The student is expected to name the five senses.",K,115
115.12.b.2,"Physical health and hygiene--personal health and hygiene. The student understands health literacy, preventative health behaviors, and how to access and evaluate health care information to make informed decisions. The student is expected to:",K,115
115.12.b.3,"Mental health and wellness--social and emotional health. The student identifies and applies strategies to develop socio-emotional health, self-regulation, and healthy relationships. The student is expected to:",K,115
115.12.b.4,"Mental health and wellness--developing a healthy self-concept. The student develops the capacity for self-assessment and evaluation, goal setting, and decision making in order to develop a healthy self-concept. The student is expected to:",K,115
115.12.b.5,Mental health and wellness--identifying and managing mental health and wellness concerns. The student develops and uses appropriate skills to identify and manage conditions related to mental health and wellness. The student is expected to discuss how to treat peers with different learning needs with dignity.,K,115
115.12.b.6,Healthy eating and physical activity--food and beverage daily recommendations. The student identifies and explains healthy eating strategies for enhancing and maintaining personal health throughout the lifespan. The student is expected to:,K,115
115.12.b.7,Healthy eating and physical activity--risk and protective factors. The student identifies and explains risk and protective factors related to healthy eating and physical activity. The student is expected to:,K,115
115.12.b.8,Injury and violence prevention and safety--safety skills and unintentional injury. The student identifies and demonstrates safety and first aid knowledge to prevent and treat injuries. The student is expected to:,K,115
115.12.b.9,Injury and violence prevention and safety--healthy relationships and conflict-resolution skills. The student differentiates between healthy and unhealthy relationships and demonstrates effective strategies to address conflict. The student is expected to:,K,115
115.12.b.10,"Injury and violence prevention and safety--healthy home, school, and community climate. The student understands that individual actions and awareness can impact safety, community, and environment. The student is expected to:",K,115
115.12.b.11,"Injury and violence prevention and safety--digital citizenship and media. The student understands how to be a safe and responsible citizen in digital and online environments. The student is expected to identify situations when one should get help from a teacher, parent, or other trusted adult when made to feel bullied, uncomfortable, or unsafe in a digital or online environment.",K,115
115.12.b.12,Injury and violence prevention and safety--interpersonal violence. The student understands the impact of interpersonal violence and the importance of seeking guidance and help to maintain personal safety. The student is expected to:,K,115
