TEKS ID,Statement,Grade,Chapter
114.32.b.2,"Communication is the overarching goal of world language instruction. Students should be provided ample opportunities to engage in conversations, to present information to an audience, and to interpret culturally authentic materials in the language of study. The American Council on the Teaching of Foreign Languages (ACTFL) identifies three modes of communication: interpersonal, interpretive, and presentational.",HS,114
114.32.b.3,"The use of age-level appropriate and culturally authentic resources is imperative to support the teaching of the essential knowledge and skills for languages other than English (LOTE). The use of culturally authentic resources in world language study enables students to make connections with other content areas, to compare the language and culture studied with their own, and to participate in local and global communities.",HS,114
114.32.b.4,"Discovery courses in LOTE allow the student to explore other languages and cultures. The student demonstrates an understanding of the elements of language(s), demonstrates an understanding of cultures, and develops effective language study skills. ACTFL has established guidelines for proficiency levels that are used as a basis for the Texas essential knowledge and skills for LOTE. ACTFL has identified national standards in the Standards for Foreign Language Learning in the 21st Century (the five C's of foreign language education). These standards describe the ""what"" (content) of world languages learning and form the core standards-based instruction in the world languages classroom.",HS,114
114.32.b.5,"Statements containing the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",HS,114
114.32.b.2.A,"In the interpersonal mode of communication, students engage in direct oral or written communication with others. Examples of this ""two-way"" communication include but are not limited to conversing face to face, participating in digital discussions and messaging, and exchanging personal letters.",HS,114
114.32.b.2.B,"In the interpretive mode of communication, students demonstrate understanding of spoken and written communication within appropriate cultural contexts. Examples of this type of ""one-way"" reading or listening include but are not limited to comprehension of digital texts as well as print, audio, and audiovisual materials.",HS,114
114.32.b.2.C,"In the presentational mode of communication, students present orally or in writing information, concepts, and ideas to an audience of listeners or readers with whom there is no immediate interaction. Examples of this ""one-to-many"" mode of communication include but are not limited to presenting to a group; creating and posting digital content; or writing reports, compositions, or articles for a magazine or newspaper.",HS,114
114.32.c.1,The student demonstrates an understanding of the elements of language(s). The student is expected to:,HS,114
114.32.c.2,The student demonstrates an understanding of cultures. The student is expected to:,HS,114
114.32.c.3,The student develops effective language study skills. The student is expected to:,HS,114
114.32.c.1.A,engage in different types of language learning activities;,HS,114
114.32.c.1.B,compare and contrast aspects of other languages to English and the student's native language; and,HS,114
114.32.c.1.C,"apply basic communication skills in the target language(s), including listening, speaking, reading, and writing.",HS,114
114.32.c.2.A,identify and describe cultural practices in selected regions or countries;,HS,114
114.32.c.2.B,"recognize the cultural products such as art, music, food, clothing, or other culturally related examples in selected regions or countries; and",HS,114
114.32.c.2.C,compare and contrast aspects of other cultures to the student's own culture.,HS,114
114.32.c.3.A,engage in a variety of language learning strategies such as identifying cognates and recognizing word origins; and,HS,114
114.32.c.3.B,"demonstrate an awareness of language patterns such as word/character order, grammatical structures, and symbols.",HS,114
