TEKS ID,Statement,Grade,Chapter
112.2.a.1,"In Kindergarten through Grade 5 Science, content is organized into recurring strands. The concepts within each grade level build on prior knowledge, prepare students for the next grade level, and establish a foundation in science. In Kindergarten, the following concepts will be addressed in each strand.",K,112
112.2.a.2,"Nature of science. Science, as defined by the National Academy of Sciences, is the ""use of evidence to construct testable explanations and predictions of natural phenomena, as well as the knowledge generated through this process."" This vast body of changing and increasing knowledge is described by physical, mathematical, and conceptual models. Students should know that some questions are outside the realm of science because they deal with phenomena that are not currently scientifically testable.",K,112
112.2.a.3,"Scientific observations, inferences, hypotheses, and theories. Students are expected to know that:",K,112
112.2.a.4,Science and social ethics. Scientific decision making is a way of answering questions about the natural world involving its own set of ethical standards about how the process of science should be carried out. Students distinguish between scientific decision-making practices and ethical and social decisions that involve science.,K,112
112.2.a.5,"Recurring themes and concepts. Science consists of recurring themes and making connections between overarching concepts. Recurring themes include structure and function, systems, models, and patterns. All systems have basic properties that can be described in space, time, energy, and matter. Change and constancy occur in systems as patterns and can be observed, measured, and modeled. Models have limitations but provide a tool for understanding the ideas presented. Students analyze a system in terms of its components and how these components relate to each other, to the whole, and to the external environment.",K,112
112.2.a.6,"Statements containing the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",K,112
112.2.a.1.A,"Scientific and engineering practices. Scientific inquiry is the planned and deliberate investigation of the natural world using scientific and engineering practices. Scientific methods of investigation are descriptive, correlative, comparative, or experimental. The method chosen should be appropriate to the grade level and question being asked. Student learning for different types of investigations includes descriptive investigations, which have no hypothesis that tentatively answers the research question and involve collecting data and recording observations without making comparisons; correlative and comparative investigations, which have a hypothesis that predicts a relationship and involve collecting data, measuring variables relevant to the hypothesis that are manipulated, and comparing results; and experimental investigations, which involve processes similar to comparative investigations but in which a hypothesis can be tested by comparing a treatment with a control.",K,112
112.2.a.1.B,"Matter and its properties. Students build their knowledge of the natural world using their senses. The students focus on observable properties and patterns of objects, including shape, color, texture, and material.",K,112
112.2.a.1.C,"Force, motion, and energy. Students explore the location, motion, and position of objects and investigate the importance of light energy as it relates to the students' everyday lives. Students focus on demonstrating light energy sources and their effect on objects.",K,112
112.2.a.1.D,"Earth and space. Patterns are recognizable in the natural world and among objects in the sky. Students understand that weather, seasons of the year, and day and night are repeated patterns. Materials found on Earth can be used and classified.",K,112
112.2.a.1.E,"Organisms and environments. All living organisms satisfy basic needs through interactions with nonliving things and living organisms, and they have structures and functions that help them survive within their environments. Students investigate the life cycle of plants and identify likenesses between parents and young.",K,112
112.2.a.1.A.i,"Scientific practices. Students ask questions, plan and conduct investigations to answer questions, and explain phenomena using appropriate tools and models.",K,112
112.2.a.1.A.ii,Engineering practices. Students identify problems and design solutions using appropriate tools and models.,K,112
112.2.a.1.A.iii,"To support instruction in the science content standards, it is recommended that districts integrate scientific and engineering practices through classroom and outdoor investigations for at least 80% of instructional time.",K,112
112.2.a.3.A,observations are active acquisition of either qualitative or quantitative information from a primary source through the senses;,K,112
112.2.a.3.B,inferences are conclusions reached on the basis of observations or reasoning supported by relevant evidence;,K,112
112.2.a.3.C,hypotheses are tentative and testable statements that must be capable of being supported or not supported by observational evidence. Hypotheses of durable explanatory power that have been tested over a wide variety of conditions are incorporated into theories; and,K,112
112.2.a.3.D,"scientific theories are based on natural and physical phenomena and are capable of being tested by multiple independent researchers. Unlike hypotheses, scientific theories are well established and highly reliable explanations, but they may be subject to change as new areas of science and new technologies are developed.",K,112
112.2.b.1,"Scientific and engineering practices. The student asks questions, identifies problems, and plans and safely conducts classroom, laboratory, and field investigations to answer questions, explain phenomena, or design solutions using appropriate tools and models. The student is expected to:",K,112
112.2.b.2,"Scientific and engineering practices. The student analyzes and interprets data to derive meaning, identify features and patterns, and discover relationships or correlations to develop evidence-based arguments or evaluate designs. The student is expected to:",K,112
112.2.b.3,"Scientific and engineering practices. The student develops evidence-based explanations and communicates findings, conclusions, and proposed solutions. The student is expected to:",K,112
112.2.b.4,Scientific and engineering practices. The student knows the contributions of scientists and recognizes the importance of scientific research and innovation on society. The student is expected to:,K,112
112.2.b.5,Recurring themes and concepts. The student uses recurring themes and concepts to make connections across disciplines. The student is expected to:,K,112
112.2.b.6,"Matter and its properties. The student knows that objects have physical properties that determine how they are described and classified. The student is expected to identify and record observable physical properties of objects, including shape, color, texture, and material, and generate ways to classify objects.",K,112
112.2.b.7,"Force, motion, and energy. The student knows that forces cause changes in motion and position in everyday life. The student is expected to describe and predict how a magnet interacts with various materials and how magnets can be used to push or pull.",K,112
112.2.b.8,"Force, motion, and energy. The student knows that energy is everywhere and can be observed in everyday life. The student is expected to:",K,112
112.2.b.9,Earth and space. The student knows that there are recognizable patterns in the natural world and among objects in the sky. The student is expected to:,K,112
112.2.b.10,Earth and space. The student knows that the natural world includes earth materials and systems that can be observed. The student is expected to:,K,112
112.2.b.11,"Earth and space. The student knows that earth materials are important to everyday life. The student is expected to observe and generate examples of practical uses for rocks, soil, and water.",K,112
112.2.b.12,Organisms and environments. The student knows that plants and animals depend on the environment to meet their basic needs for survival. The student is expected to:,K,112
112.2.b.13,Organisms and environments. The student knows that organisms resemble their parents and have structures and undergo processes that help them interact and survive within their environments. The student is expected to:,K,112
112.2.b.1.A,"ask questions and define problems based on observations or information from text, phenomena, models, or investigations;",K,112
112.2.b.1.B,use scientific practices to plan and conduct simple descriptive investigations and use engineering practices to design solutions to problems;,K,112
112.2.b.1.C,"identify, describe, and demonstrate safe practices during classroom and field investigations as outlined in Texas Education Agency-approved safety standards;",K,112
112.2.b.1.D,"use tools, including hand lenses, goggles, trays, cups, bowls, sieves or sifters, notebooks, terrariums, aquariums, samples (rocks, sand, soil, loam, gravel, clay, seeds, and plants), windsock, demonstration thermometer, rain gauge, straws, ribbons, non-standard measuring items, blocks or cubes, tuning fork, various flashlights, small paper cups, items that roll, noise makers, hot plate, opaque objects, transparent objects, foil pie pans, foil muffin cups, wax paper, Sun-Moon-Earth model, and plant life cycle model to observe, measure, test, and compare;",K,112
112.2.b.1.E,collect observations and measurements as evidence;,K,112
112.2.b.1.F,"record and organize data using pictures, numbers, words, symbols, and simple graphs; and",K,112
112.2.b.1.G,"develop and use models to represent phenomena, objects, and processes or design a prototype for a solution to a problem.",K,112
112.2.b.2.A,"identify basic advantages and limitations of models such as their size, properties, and materials;",K,112
112.2.b.2.B,analyze data by identifying significant features and patterns;,K,112
112.2.b.2.C,use mathematical concepts to compare two objects with common attributes; and,K,112
112.2.b.2.D,evaluate a design or object using criteria to determine if it works as intended.,K,112
112.2.b.3.A,develop explanations and propose solutions supported by data and models;,K,112
112.2.b.3.B,communicate explanations and solutions individually and collaboratively in a variety of settings and formats; and,K,112
112.2.b.3.C,listen actively to others' explanations to identify important evidence and engage respectfully in scientific discussion.,K,112
112.2.b.4.A,explain how science or an innovation can help others; and,K,112
112.2.b.4.B,"identify scientists and engineers such as Isaac Newton, Mae Jemison, and Ynes Mexia and explore what different scientists and engineers do.",K,112
112.2.b.5.A,identify and use patterns to describe phenomena or design solutions;,K,112
112.2.b.5.B,investigate and predict cause-and-effect relationships in science;,K,112
112.2.b.5.C,describe the properties of objects in terms of relative size (scale) and relative quantity;,K,112
112.2.b.5.D,examine the parts of a whole to define or model a system;,K,112
112.2.b.5.E,identify forms of energy and properties of matter;,K,112
112.2.b.5.F,"describe the relationship between the structure and function of objects, organisms, and systems; and",K,112
112.2.b.5.G,"describe how factors or conditions can cause objects, organisms, and systems to either change or stay the same.",K,112
112.2.b.8.A,communicate the idea that objects can only be seen when a light source is present and compare the effects of different amounts of light on the appearance of objects; and,K,112
112.2.b.8.B,"demonstrate and explain that light travels through some objects and is blocked by other objects, creating shadows.",K,112
112.2.b.9.A,"identify, describe, and predict the patterns of day and night and their observable characteristics; and",K,112
