TEKS ID,Statement,Grade,Chapter
113.45.b.2,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",HS,113
113.45.b.3,"Students understand that a constitutional republic is a representative form of government whose representatives derive their authority from the consent of the governed, serve for an established tenure, and are sworn to uphold the constitution.",HS,113
113.45.b.4,"State and federal laws mandate a variety of celebrations and observances, including Celebrate Freedom Week.",HS,113
113.45.b.5,"Students identify and discuss how the actions of U.S. citizens and the local, state, and federal governments have either met or failed to meet the ideals espoused in the founding documents.",HS,113
113.45.b.4.A,"Each social studies class shall include, during Celebrate Freedom Week as provided under the Texas Education Code, §29.907, or during another full school week as determined by the board of trustees of a school district, appropriate instruction concerning the intent, meaning, and importance of the Declaration of Independence and the U.S. Constitution, including the Bill of Rights, in their historical contexts. The study of the Declaration of Independence must include the study of the relationship of the ideas expressed in that document to subsequent American history, including the relationship of its ideas to the rich diversity of our people as a nation of immigrants, the American Revolution, the formulation of the U.S. Constitution, and the abolitionist movement, which led to the Emancipation Proclamation and the women's suffrage movement.",HS,113
113.45.b.4.B,"Each school district shall require that, during Celebrate Freedom Week or other week of instruction prescribed under subparagraph (A) of this paragraph, students in Grades 3-12 study and recite the following text: ""We hold these Truths to be self-evident, that all Men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the Pursuit of Happiness--That to secure these Rights, Governments are instituted among Men, deriving their just Powers from the Consent of the Governed.""",HS,113
113.45.c.1,History. The student understands the development of the field of psychology. The student is expected to:,HS,113
113.45.c.2,Science of psychology. The student differentiates the processes of theory development and validation. The student is expected to:,HS,113
113.45.c.3,Science of psychology. The student understands the relationship between biology and behavior. The student is expected to:,HS,113
113.45.c.4,Science of psychology. The student understands how sensations and perceptions influence cognition and behavior. The student is expected to:,HS,113
113.45.c.5,Individual development. The student understands that development is a life-long process. The student is expected to:,HS,113
113.45.c.6,Individual development. The student understands behavioral and social learning theories. The student is expected to:,HS,113
113.45.c.7,Individual identity. The student understands the principles of motivation and emotion. The student is expected to:,HS,113
113.45.c.8,Individual identity. The student understands the nature of intelligence. The student is expected to differentiate the various types of intelligence.,HS,113
113.45.c.9,Individual identity. The student understands the basic principles of tests and measurements. The student is expected to:,HS,113
113.45.c.10,Individual identity. The student understands the development and assessment of personality. The student is expected to:,HS,113
113.45.c.11,Individual experience. The student understands basic elements of cognition. The student is expected to:,HS,113
113.45.c.12,Individual experience. The student understands the multifaceted aspects of mental health. The student is expected to:,HS,113
113.45.c.13,The individual in society. The student will understand the influence of society and culture on behavior and cognition. The student is expected to:,HS,113
113.45.c.14,"Social studies skills. The student applies critical-thinking skills to organize and use information acquired from a variety of valid sources, including electronic technology. The student is expected to:",HS,113
113.45.c.15,"Social studies skills. The student communicates in written, oral, and visual forms. The student is expected to:",HS,113
113.45.c.16,"Social studies skills. The student uses problem-solving and decision-making skills, working independently and with others, in a variety of settings. The student is expected to:",HS,113
113.45.c.17,Social studies skills. The student develops long-term and short-term goal-setting skills for individual and community problem solving. The student is expected to:,HS,113
113.45.c.18,Science and technology. The student understands the relationship of changes in technology to personal growth and development. The student is expected to:,HS,113
113.45.c.1.A,identify characteristics that differentiate the field of psychology from other related social sciences;,HS,113
113.45.c.1.B,"trace the historical development of the contemporary perspectives in psychology, including biological, behavioral, cognitive, sociocultural, humanistic, and psychodynamic; and",HS,113
113.45.c.1.C,explore subfields and career opportunities available in the science of psychology.,HS,113
113.45.c.2.A,define and differentiate the concepts of theory and principle;,HS,113
113.45.c.2.B,identify and describe the basic methods of social scientific reasoning;,HS,113
113.45.c.2.C,"apply the standards of the American Psychological Association (APA) for ethical decision making regarding the collection, storage, and use of psychological data; and",HS,113
113.45.c.2.D,"define and interpret measures of central tendency (mean, median, and mode) and dispersion (range and standard deviation).",HS,113
113.45.c.3.A,describe the anatomy of the central and peripheral nervous systems and the endocrine system; and,HS,113
113.45.c.3.B,explain the effects of the endocrine and nervous systems on development and behavior.,HS,113
113.45.c.4.A,explain the capabilities and limitations of sensory systems and individual perceptions; and,HS,113
113.45.c.4.B,understand the interaction of the individual and the environment in determining sensation and perception.,HS,113
113.45.c.5.A,critique the various perspectives presented in the nature versus nurture debate;,HS,113
113.45.c.5.B,trace the influence of physical development on the individual;,HS,113
113.45.c.5.C,discuss the role of the caregiver on individual development;,HS,113
113.45.c.5.D,explain factors involved in cognitive development according to Jean Piaget;,HS,113
113.45.c.5.E,describe Erik Erikson's stages of psychosocial development;,HS,113
113.45.c.5.F,evaluate the predicted outcomes of given courses of actions in particular situations based on an understanding of the development of morality; and,HS,113
113.45.c.5.G,evaluate the presented theories of human development and specify the strengths and weaknesses of each.,HS,113
113.45.c.6.A,demonstrate an understanding of the principles of operant and classical conditioning and of social learning; and,HS,113
113.45.c.6.B,describe the processes of learning using typical classroom situations.,HS,113
113.45.c.7.A,compare predominant theories of motivation and emotion; and,HS,113
113.45.c.7.B,explore the interaction of biological and cultural factors in emotion and motivation.,HS,113
113.45.c.9.A,describe statistical concepts used in testing; and,HS,113
113.45.c.9.B,"differentiate among aptitude, achievement, and Intelligence Quotient (IQ) tests.",HS,113
113.45.c.10.A,define personality;,HS,113
113.45.c.10.B,"compare and evaluate various theories of personality, including psychodynamic, trait, humanistic, and sociocultural; and",HS,113
113.45.c.10.C,describe personality assessment tools.,HS,113
113.45.c.11.A,define and identify the basic elements of thought;,HS,113
113.45.c.11.B,identify strategies and obstacles associated with problem solving and decision making;,HS,113
113.45.c.11.C,explore the structural features of language;,HS,113
113.45.c.11.D,discuss theories of language acquisition and development;,HS,113
