TEKS ID,Statement,Grade,Chapter
120.3.b,Knowledge and Skills,"KG, 01, 02",120
120.3.a.1,"Character education introduces students to character traits that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.","01, 02, KG",120
120.3.a.2,"The standards for positive character traits are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits. ","KG, 01, 02",120
120.3.a.3,"Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, difference and diversity, biases, and the social and cultural context in which they live.","KG, 01, 02",120
120.3.a.4,"The knowledge and skills for positive character traits are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.","KG, 01, 02",120
120.3.a.5,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.","KG, 01, 02",120
120.3.a.2.A,"Trustworthiness: loyalty, integrity, reliability, and punctuality.","KG, 01, 02",120
120.3.a.2.B,"Responsibility: accountability, perseverance, diligence, and self-control.",no workie,120
120.3.a.2.C,"Caring: kindness, empathy, charity, generosity, patience, consideration, and compassion.","KG, 01, 02",120
120.3.b.1,Trustworthiness. The student understands how personal choices and actions relate to character building. The student is expected to:,"KG, 01, 02",120
120.3.b.2,Responsibility. The student understands the concept of responsibility and how personal actions demonstrate responsibility. The student is expected to:,"KG, 01, 02",120
120.3.b.3,Caring. The student understands how personal actions demonstrate characteristics of caring. The student is expected to:,"KG, 01, 02",120
120.3.b.4,Citizenship. The student understands how personal actions can demonstrate good citizenship. The student is expected to:,no workie,120
120.3.b.1.A,describe how personal choices lead to personal actions;,"KG, 01, 02",120
120.3.b.1.B,explain what it means to be trustworthy; and,"KG, 01, 02",120
120.3.b.1.C,"identify personal actions that build trustworthiness, including being honest and punctual.","KG, 01, 02",120
120.3.b.2.A,describe and give examples of how feelings and beliefs influence personal actions;,"KG, 01, 02",120
120.3.b.2.B,describe how to make personal choices before speaking and acting; and,"KG, 01, 02",120
120.3.b.2.C,define self-control and identify instances in which self-control is important.,"KG, 01, 02",120
120.3.b.3.A,define patience and identify actions that demonstrate patience; and,"KG, 01, 02",120
120.3.b.3.B,explain and identify examples of how actions can demonstrate kindness to others.,"KG, 01, 02",120
120.3.b.4.A,define fairness and identify examples of fairness in a variety of situations;,"KG, 01, 02",120
120.3.b.4.B,define and identify examples of patriotism;,"KG, 01, 02",120
120.3.b.4.C,explain what it means to demonstrate respect and courtesy and why it is important to demonstrate respect and courtesy to others; and,"KG, 01, 02",120
120.3.b.4.D,define good citizenship.,"KG, 01, 02",120
120.5.a.1,"Character education introduces students to character traits that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.","03, 04, 05",120
120.5.a.2,"The standards for positive character traits are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits. ","03, 04, 05",120
120.5.a.3,"Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, difference and diversity, biases, and the social and cultural context in which they live.","03, 04, 05",120
120.5.a.4,"The knowledge and skills for positive character traits are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation. ","03, 04, 05",120
120.5.a.5,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.","03, 04, 05",120
120.5.a.2.A,"Trustworthiness: loyalty, integrity, reliability, and punctuality.","03, 04, 05",120
120.5.a.2.B,"Responsibility: accountability, perseverance, diligence, and self-control.","03, 04, 05",120
120.5.a.2.C,"Caring: kindness, empathy, charity, generosity, patience, consideration, and compassion.","03, 04, 05",120
120.5.a.2.D,"Citizenship: respect, courtesy, concern for the common good and the community, fairness, freedom from prejudice, justice, patriotism, school pride, respect for authority and law, and gratitude.","03, 04, 05",120
120.5.b.1,Trustworthiness. The student understands how personal responsibility relates to being trustworthy. The student is expected to:,"03, 04, 05",120
120.5.b.2,Responsibility. The student understands how personal choices are associated with responsibility. The student is expected to:,"03, 04, 05",120
120.5.b.3,Caring. The student understands how personal actions demonstrate characteristics of caring. The student is expected to:,"03, 04, 05",120
120.5.b.4,Citizenship. The student understands that personal responsibility is associated with citizenship. The student is expected to:,"03, 04, 05",120
120.5.b.1.A,"identify and define traits of trustworthiness, including reliability and loyalty; ","03, 04, 05",120
120.5.b.1.B,identify and practice strategies for being honest and punctual; and,"03, 04, 05",120
120.5.b.1.C,define and identify examples of unethical behavior.,"03, 04, 05",120
120.5.b.2.A,explain what it means to be responsible for personal decisions and actions;,"03, 04, 05",120
120.5.b.2.B,describe positive and negative consequences of personal decisions and actions;,"03, 04, 05",120
